bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher
8253,Little Town on the Prairie  (Little House  #7),4.11,4.19,60885432,9780060885434,3.94,374,71853,646,1167580800,4.01
11101,First Comes Love (Hot Water  California #1),3.88,3.81,380818957,9780380818952,3.92,384,1051,47,1009814400,3.82
28193,When Santa Fell to Earth,3.87,3.76,043978204X,9780439782043,3.94,167,1840,245,1159632000,3.87
25047,The Case of the Stinky Science Project (Jigsaw Jones  #9),3.88,3.83,439114284,9780439114288,3.92,80,162,11,983376000,3.88
17800,Dance Dance Dance,3.91,4.04,99448769,9780099448761,3.94,393,50169,2117,1013011200,3.9
23601,The J.R.R. Tolkien Companion and Guide  Volume 2: Reader's Guide,4.16,4.46,618391010,9780618391011,3.94,1262,31,2,1162396800,4.07
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,3.74,3.68,871202867,9780871202864,3.92,108,77,2,854380800,3.91
39501,The Burglar Who Thought He Was Bogart (Bernie Rhodenbarr  #7),3.92,3.89,60872799,9780060872793,3.92,400,2134,99,1162224000,3.95
37387,The Prime of Miss Jean Brodie / The Girls of Slender Means / The Driver's Seat / The Only Problem,3.86,3.79,1857152743,9781857152746,3.94,512,1477,90,1083772800,3.92
32715,Desperation / The Regulators: Box Set,3.99,4.07,067077605X,9780670776054,3.94,1075,3231,72,844099200,4.03
2067,Breaking the Spell: Religion as a Natural Phenomenon,3.9,3.89,067003472X,9780670034727,3.94,448,10135,330,1140710400,3.79
30380,Prime Time,3.72,3.58,446364290,9780446364294,3.94,256,2005,60,809884800,3.92
5027,I Love Saturdays y domingos,3.98,4.05,068987409X,9780689874093,3.92,32,34,10,1093968000,4.01
19313,Christmas in Noisy Village,4.15,4.18,140503447,9780140503449,3.92,32,830,41,373132800,4.02
4075,In Search of Memory: The Emergence of a New Science of Mind,3.98,4.1,393058638,9780393058635,3.94,430,3958,172,1138723200,3.96
11890,The Wapshot Chronicle,3.54,3.76,60528877,9780060528874,3.94,352,6152,257,1054569600,4.05
11616,The Gardens of Emily Dickinson,3.89,3.84,067401829X,9780674018297,3.94,350,54,13,1128096000,4.12
1305,Gates of Fire,3.95,4.42,055338368X,9780553383683,3.94,392,21934,1629,1127750400,3.91
4888,The Drama of the Gifted Child: The Search for the True Self,4.02,4.09,046501691X,9780465016914,3.92,118,97,10,423244800,4.07
12071,Buenos Presagios: las buenas y ajustadas profecías de Agnes La Chalada,4.12,4.25,159497098X,9781594970986,3.94,318,104,14,1114358400,4.03
6903,My Sister's Keeper,3.9,3.86,097441218X,9780974412184,3.94,252,89,2,1078761600,3.9
11371,It Can't Happen Here,3.86,3.77,045121658X,9780451216588,3.94,400,9031,1555,1128355200,3.95
43230,The English Novel: An Introduction,3.83,3.77,1405117079,9781405117074,3.94,376,101,10,1091721600,3.86
21626,Not of Woman Born,3.88,3.82,451456815,9780451456816,3.94,288,60,11,920217600,3.88
39625,Call of the Moon,3.92,3.74,505525151,9780505525154,3.94,352,126,8,1230739200,3.79
13823,Roger Zelazny's To Rule in Amber (The Dawn of Amber  #3),3.82,3.77,1596871326,9781596871328,3.94,310,753,13,1128096000,3.8
24040,The Discovery (Dive  #1),3.92,3.72,439507227,9780439507226,3.94,141,1858,135,1054396800,3.85
30948,The Rise of Christianity,3.98,4.04,60677015,9780060677015,3.94,272,1363,151,863107200,4.02
24626,A Stranger Came Ashore,3.89,3.82,64400824,9780064400824,3.94,163,464,49,229104000,3.91
20812,Four Weddings and a Funeral,3.93,3.75,312143400,9780312143404,3.94,128,47,4,829497600,3.92
