bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher
8253,Little Town on the Prairie  (Little House  #7),4.11,4.19,60885432,3.93,3.94,374,71853,646,1,4.01
11101,First Comes Love (Hot Water  California #1),3.88,3.81,380818957,3.93,3.92,384,1051,47,1,3.82
28193,When Santa Fell to Earth,3.87,3.76,043978204X,3.93,3.94,167,1840,245,10,3.87
25047,The Case of the Stinky Science Project (Jigsaw Jones  #9),3.88,3.83,439114284,3.93,3.92,80,162,11,3,3.88
17800,Dance Dance Dance,3.91,4.04,99448769,3.93,3.94,393,50169,2117,2,3.9
23601,The J.R.R. Tolkien Companion and Guide  Volume 2: Reader's Guide,4.16,4.46,618391010,3.93,3.94,1262,31,2,11,4.07
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,3.74,3.68,871202867,3.93,3.92,108,77,2,1,3.91
39501,The Burglar Who Thought He Was Bogart (Bernie Rhodenbarr  #7),3.92,3.89,60872799,3.93,3.92,400,2134,99,10,3.95
37387,The Prime of Miss Jean Brodie / The Girls of Slender Means / The Driver's Seat / The Only Problem,3.86,3.79,1857152743,3.93,3.94,512,1477,90,5,3.92
32715,Desperation / The Regulators: Box Set,3.99,4.07,067077605X,3.93,3.94,1075,3231,72,10,4.03
2067,Breaking the Spell: Religion as a Natural Phenomenon,3.9,3.89,067003472X,3.93,3.94,448,10135,330,2,3.79
30380,Prime Time,3.72,3.58,446364290,3.93,3.94,256,2005,60,9,3.92
5027,I Love Saturdays y domingos,3.98,4.05,068987409X,3.93,3.92,32,34,10,9,4.01
19313,Christmas in Noisy Village,4.15,4.18,140503447,3.93,3.92,32,830,41,10,4.02
4075,In Search of Memory: The Emergence of a New Science of Mind,3.98,4.1,393058638,3.93,3.94,430,3958,172,2,3.96
11890,The Wapshot Chronicle,3.54,3.76,60528877,3.93,3.94,352,6152,257,6,4.05
11616,The Gardens of Emily Dickinson,3.89,3.84,067401829X,3.93,3.94,350,54,13,10,4.12
1305,Gates of Fire,3.95,4.42,055338368X,3.93,3.94,392,21934,1629,9,3.91
4888,The Drama of the Gifted Child: The Search for the True Self,4.02,4.09,046501691X,3.93,3.92,118,97,10,6,4.07
12071,Buenos Presagios: las buenas y ajustadas profecías de Agnes La Chalada,4.12,4.25,159497098X,3.93,3.94,318,104,14,4,4.03
6903,My Sister's Keeper,3.9,3.86,097441218X,3.93,3.94,252,89,2,3,3.9
11371,It Can't Happen Here,3.86,3.77,045121658X,3.93,3.94,400,9031,1555,10,3.95
